epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3177.32,0.55783,0.39319,0.85441,0.74059,0.85772,0.85694,0.77817,0.49329,0.33699,0.82823,0.000359409,0.000359409,0.000359409
43,3250.27,0.56214,0.39662,0.84316,0.7727,0.84841,0.85657,0.76362,0.46496,0.33405,0.822,0.000341077,0.000341077,0.000341077
44,3323.31,0.54133,0.37049,0.85175,0.98746,0.7313,0.85701,0.73424,0.50136,0.33955,0.82844,0.000322745,0.000322745,0.000322745
45,3397.68,0.56101,0.37946,0.85195,0.73885,0.9813,0.85694,0.74187,0.49428,0.34525,0.8261,0.000304414,0.000304414,0.000304414
46,3471.08,0.53647,0.35528,0.84481,0.68299,0.94925,0.8982,0.78172,0.43156,0.33835,0.81684,0.000286083,0.000286083,0.000286083
47,3542.55,0.56857,0.38156,0.8479,0.70694,0.9813,0.85675,0.7354,0.44176,0.33634,0.81537,0.000267751,0.000267751,0.000267751
48,3615.52,0.53341,0.37709,0.84255,0.77548,0.9813,0.89836,0.72914,0.4744,0.3291,0.82235,0.00024942,0.00024942,0.00024942
49,3688.42,0.56889,0.36189,0.85282,0.83276,0.9813,0.89851,0.75439,0.4682,0.32317,0.82396,0.000231088,0.000231088,0.000231088
50,3760.77,0.54032,0.34395,0.83696,0.80446,0.9813,0.85707,0.75093,0.46941,0.31327,0.82261,0.000212757,0.000212757,0.000212757
51,3831.14,0.51645,0.31234,0.82525,0.77927,0.9813,0.85707,0.73238,0.45101,0.31529,0.81887,0.000194425,0.000194425,0.000194425
52,3901.35,0.50755,0.30911,0.82095,0.75347,0.9813,0.85722,0.73036,0.45414,0.32321,0.81857,0.000176094,0.000176094,0.000176094
53,3971.87,0.50664,0.31816,0.83571,0.79998,0.9813,0.85703,0.73196,0.4638,0.32083,0.82009,0.000157762,0.000157762,0.000157762
54,4042.46,0.51364,0.3177,0.81898,0.77672,0.9813,0.85706,0.72083,0.46918,0.31714,0.82302,0.000139431,0.000139431,0.000139431
55,4112.58,0.50545,0.31194,0.8081,0.73742,0.9813,0.8574,0.72275,0.47168,0.3199,0.82379,0.000121099,0.000121099,0.000121099
56,4184.17,0.49137,0.30243,0.81948,0.73674,0.9813,0.85708,0.7419,0.47295,0.32279,0.82406,0.000102768,0.000102768,0.000102768
57,4255.16,0.49335,0.30444,0.8308,0.75634,0.9813,0.85693,0.74132,0.43909,0.32117,0.81907,8.4436e-05,8.4436e-05,8.4436e-05
58,4325.76,0.49132,0.30453,0.82213,0.76448,0.9813,0.85697,0.74617,0.44491,0.31224,0.81668,6.61045e-05,6.61045e-05,6.61045e-05
59,4397.29,0.48555,0.29462,0.81236,0.76754,0.9813,0.85712,0.74206,0.44769,0.29936,0.81735,4.7773e-05,4.7773e-05,4.7773e-05
60,4470.51,0.48846,0.29557,0.82645,0.76834,0.9813,0.85718,0.74421,0.43471,0.30386,0.81671,2.94415e-05,2.94415e-05,2.94415e-05
